contact_id,first_name,last_name,email,phone,company_id,lifecycle_stage,is_subscribed,lead_source,preferred_contact_method,is_decision_maker
46,Happy,Wayne,happy.wayne@catalystworks.com,+1-555-0126,84,customer,False,Partner,Phone,False
47,Mike,Weasley,mike.weasley@cobaltlabs.com,(555) 0883,290,lead,True,Organic Search,SMS,False
48,Peggy,Osborn,peggy.osborn@cobaltcorp.com,555-0003,68,marketingqualifiedlead,No,Organic Search,Email,False
49,Alicia,Johnson,alicia.johnson@meridiancorp.com,555.0452,244,lead,False,Trade Show,Phone,0
50,Sara,Romanoff,sara.romanoff@umbrellaglobal.com,555-0858,17,marketingqualifiedlead,True,Referral,No Preference,True
51,Peggy,Bishop,peggy.bishop@siriusworks.com,555-0368,234,subscriber,False,Cold Outreach,No Preference,False
52,Scott,Hardy,scott.hardy@meridiangroup.com,+1-555-0880,69,opportunity,0,Trade Show,Email,1
53,Pepper,Carter,pepper.carter@starksystems.com,555-0588,163,marketingqualifiedlead,False,Trade Show,No Preference,True
54,Kate,Beer, kate.beer@massivepartners.com ,555-0024,100,evangelist,0,Trade Show,No Preference,False
55,Natasha,Bishop, natasha.bishop@emberpartners.com ,555-0206,109,marketingqualifiedlead,False,Cold Outreach,SMS,True
56,Clint,Barton,clint.barton@quantumlabs.com,555-0029,292,lead,False,Partner,No Preference,True
57,Richard,Rhodes,richard.rhodes@vertexgroup.com,555-0549,236,salesqualifiedlead,False,Partner,Email,False
58,Hank,Maximoff,hank.maximoff@wonkaindustries.com,555-0701,10,evangelist,True,Cold Outreach,Email,False
59,Hope,Weasley,hope.weasley@orbitnetworks.com,555-0119,200,evangelist,False,Partner,Email,True
60,Rhodey,Keys,rhodey.keys@meridiansystems.com,5550309,155,evangelist,0,Referral,No Preference,False
61,Vision,Sharp,vision.sharp@acmeglobal.com,555-0536,248,marketingqualifiedlead,1,Trade Show,Phone,1
62,Happy,Barnes,happy.barnes@compassinc.com,555-0318,268,customer,True,Cold Outreach,No Preference,True
63,Wong,Rogers,wong.rogers@nimbussolutions.com,555-0214,160,lead,False,Organic Search,Email,True
64,Meredith,Belson,meredith.belson@hooliholdings.com,555-0211,287,opportunity,True,Partner,SMS,True
65,Tom,Rogers,tom.rogers@gringottsstudio.com,+1-555-0051,174,customer,No,Referral,Email,True
66,Kamala,Hogan,kamala.hogan@nimbussolutions.com,555-0202,160,customer,True,Organic Search,Phone,No
67,Tony,Potts,tony.potts@piedpiperenterprises.com,5550970,239,marketingqualifiedlead,False,Cold Outreach,No Preference,True
68,Pepper,Belson,pepper.belson@acmecorp.com,555-0289,237,opportunity,True,Organic Search,Email,True
69,Steve,Khan,steve.khan@novainc.com,555-0249,212,salesqualifiedlead,False,Webinar,No Preference,False
70,Hank,Barton,hank.barton@horizonventures.com,+1-555-0685,121,subscriber,False,Cold Outreach,Email,True
71,Steve,Danvers,steve.danvers@piedpiperllc.com,555-0610,56,salesqualifiedlead,True,Referral,Phone,True
72,Nina,Sharp,nina.sharp@oscorpgroup.com,555-0591,150,lead,False,Cold Outreach,SMS,False
73,Natasha,Wayne,natasha.wayne@piedpiperdynamics.com,555-0130,262,subscriber,True,Referral,SMS,Yes
74,Jane,Keys,jane.keys@cobaltworks.com,555-0728,202,salesqualifiedlead,True,Partner,Phone,True
75,Scott,Barnes,scott.barnes@soylentcorp.com,(555) 0157,185,lead,1,Webinar,No Preference,True
76,Bruce,Hendricks,bruce.hendricks@vertexstudio.com,555-0915,213,opportunity,True,Organic Search,No Preference,False
77,Bucky,Romanoff,bucky.romanoff@starkpartners.com,555-0591,218,customer,Yes,Organic Search,SMS,1
78,Hank,Rhodes,hank.rhodes@fusionco.com,555-0984,58,lead,False,Organic Search,Email,True
79,Alicia,Rhodes,alicia.rhodes@titanlabs.com,555-0552,40,marketingqualifiedlead,False,Trade Show,Email,False
80,Hank,Barton,hank.barton@duffpartners.com,555-0036,151,opportunity,False,Referral,No Preference,True
81,Peggy,Smith,peggy.smith@nimbuscollective.com,555-0078,43,marketingqualifiedlead,False,Cold Outreach,SMS,1
82,Kamala,Osborn,kamala.osborn@piedpiperworks.com,555-0378,78,marketingqualifiedlead,True,Organic Search,Phone,True
83,Clint,Wayne,clint.wayne@starkcollective.com,555-0770,79,evangelist,False,Partner,Phone,Yes
84,Sara,Shepherd,SARA.SHEPHERD@EMBERLLC.COM,555-0475,60,marketingqualifiedlead,True,Organic Search,No Preference,True
85,Wong,Leeds,wong.leeds@fusionsolutions.com,555-0699,307,subscriber,False,Organic Search,SMS,False
86,Tony,Shepherd,tony.shepherd@meridiantechnologies.com,555-0691,201,customer,True,Trade Show,SMS,True
87,Wanda,Bishop,wanda.bishop@soylentcorp.com,+1-555-0537,304,marketingqualifiedlead,Yes,Cold Outreach,Phone,1
88,Sara,Johnson,sara.johnson@titanholdings.com,(555) 0122,63,salesqualifiedlead,True,Referral,Phone,False
89,Tom,Potts,tom.potts@vectorco.com,555-0708,142,evangelist,False,Webinar,Email,True
90,Bucky,Barnes,bucky.barnes@umbrellaworks.com,+1-555-0832,31,subscriber,True,Trade Show,No Preference,No
91,Tony,Sharp,tony.sharp@anchorcorp.com,+1-555-0658,221,customer,True,Referral,Email,False
92,Ned,Smith,ned.smith@vectorgroup.com,555-0000,77,customer,True,Partner,SMS,True
93,Vision,VanDyne,vision.vandyne@gringottstechnologies.com,555-0799,207,subscriber,True,Organic Search,No Preference,Yes
94,Clint,Rogers,clint.rogers@waynesystems.com,555-0873,47,subscriber,False,Partner,Phone,1
95,Bucky,Dyson,bucky.dyson@orbitnetworks.com,555-0645,200,salesqualifiedlead,No,Partner,Phone,0
96,Jane,Keys,jane.keys@piedpiperco.com,555-0658,33,opportunity,False,Referral,Email,False
97,Mike,Danvers,mike.danvers@compassinc.com,555-0694,268,opportunity,0,Referral,Email,False
98,Jane,Rhodes,jane.rhodes@starkdynamics.com,(555) 0664,24,customer,Yes,Referral,No Preference,True
99,Tony,Belson,tony.belson@cyberdyneworks.com,555-0207,113,evangelist,False,Cold Outreach,Email,True
100,Wanda,Johnson,wanda.johnson@waynestudio.com,+1-555-0123,89,lead,True,Organic Search,Phone,True
101,Richard,Stark,richard.stark@wonkaco.com,555-0016,193,subscriber,0,Referral,SMS,False
102,Richard,Johnson,richard.johnson@wonkainc.com,(555) 0421,139,opportunity,True,Partner,No Preference,True
103,Steve,Romanoff,steve.romanoff@catalystholdings.com,555-0120,286,subscriber,True,Organic Search,Phone,True
104,Gavin,Sharp,gavin.sharp@meridianenterprises.com,555-0163,243,subscriber,Yes,Cold Outreach,Phone,False
105,Kate,Potts,kate.potts@apextechnologies.com,555.0180,27,salesqualifiedlead,True,Webinar,No Preference,False
106,Peter,Dyson,peter.dyson@atlascollective.com,555-0112,167,subscriber,No,Webinar,No Preference,True
107,Pepper,VanDyne,pepper.vandyne@stellartechnologies.com,555-0950,224,lead,True,Organic Search,Phone,False
108,Miles,Barton,MILES.BARTON@QUANTUMLABS.COM,+1-555-0139,292,salesqualifiedlead,False,Webinar,SMS,True
109,Hank,Bishop,hank.bishop@oscorppartners.com,555-0534,45,lead,False,Cold Outreach,Email,True
110,Alicia,Maximoff,alicia.maximoff@anchorindustries.com,555-0605,114,opportunity,False,Referral,Email,True
111,May,Pym,may.pym@duffcollective.com,555.0246,51,customer,True,Webinar,SMS,True
112,Jane,Rhodes,jane.rhodes@duffdynamics.com,555-0878,83,opportunity,No,Organic Search,Phone,False
113,Norman,Wilson,norman.wilson@hoolicorp.com,555-0072,1,customer,True,Cold Outreach,No Preference,True
114,Bruce,Barton,bruce.barton@catalystnetworks.com,555-0931,29,subscriber,Yes,Organic Search,Email,True
115,Scott,Hardy,scott.hardy@waynetechnologies.com,555.0342,105,customer,True,Partner,Phone,False
116,Vision,Leeds,vision.leeds@piedpiperco.com,555-0463,33,opportunity,False,Partner,SMS,False
117,Tom,Dyson,tom.dyson@cobaltco.com,555-0400,235,marketingqualifiedlead,True,Referral,Phone,True
118,Rhodey,Sharp,rhodey.sharp@nimbusnetworks.com,(555) 0023,267,salesqualifiedlead,False,Partner,Email,True
119,Jane,Beer,jane.beer@nimbusnetworks.com,555-0421,267,customer,False,Organic Search,No Preference,True
120,Steve,Weasley,steve.weasley@wonkaenterprises.com,555.0994,117,lead,False,Webinar,Phone,False
121,Norman,Osborn,norman.osborn@starkcollective.com,5550119,79,opportunity,Yes,Cold Outreach,Phone,1
122,Wanda,Romanoff,wanda.romanoff@massivesolutions.com,555-0166,230,subscriber,False,Organic Search,Phone,False
123,Nina,Doe,nina.doe@anchorlabs.com,555-0339,280,marketingqualifiedlead,False,Trade Show,Phone,False
124,Clint,Belson,clint.belson@umbrellallc.com,555.0564,21,salesqualifiedlead,True,Organic Search,SMS,1
125,Kamala,Dyson,kamala.dyson@anchorindustries.com,555.0785,114,subscriber,False,Partner,Email,False
126,Miles,VanDyne,miles.vandyne@piedpiperdynamics.com,555-0930,262,salesqualifiedlead,No,Cold Outreach,No Preference,False
127,Natasha,Romanoff,natasha.romanoff@cobaltinc.com,+1-555-0089,229,customer,False,Cold Outreach,Phone,False
128,Peter,Hendricks,peter.hendricks@oscorppartners.com,555-0310,45,evangelist,False,Referral,No Preference,No
129,Meredith,Parker,meredith.parker@acmecorp.com,555-0773,237,lead,No,Cold Outreach,No Preference,Yes
130,Janet,Rogers,janet.rogers@siriusventures.com,5550810,238,marketingqualifiedlead,False,Referral,SMS,False
131,Alicia,Smith,alicia.smith@vectorco.com,5550993,142,opportunity,False,Cold Outreach,No Preference,True
132,Sam,Lang,sam.lang@nimbusglobal.com,555-0166,9,lead,True,Cold Outreach,Phone,Yes
133,Peter,Romanoff,peter.romanoff@oscorpgroup.com,(555) 0958,150,evangelist,True,Trade Show,Phone,False
134,Steve,Grey,steve.grey@wayneworks.com,555-0593,186,lead,Yes,Cold Outreach,No Preference,True
135,Tony,Johnson,tony.johnson@anchorindustries.com,555-0814,114,opportunity,True,Organic Search,No Preference,True
136,Richard,Smith,richard.smith@nimbussolutions.com,555-0142,160,opportunity,False,Webinar,SMS,1
137,Duffman,Hendricks,duffman.hendricks@globexco.com,(555) 0314,73,subscriber,True,Referral,Email,False
138,Mike,Dyson,mike.dyson@acmecollective.com,5550480,263,subscriber,1,Referral,Email,True
139,Janet,Dyson, janet.dyson@soylentco.com ,555-0149,180,marketingqualifiedlead,False,Cold Outreach,Phone,True
140,Vision,Hardy,vision.hardy@gringottssolutions.com,(555) 0541,297,marketingqualifiedlead,1,Partner,Email,False
141,Sam,Osborn,sam.osborn@duffgroup.com,555-0363,55,salesqualifiedlead,0,Organic Search,Email,False
142,Gavin,Potts,gavin.potts@starknetworks.com,555-0369,70,opportunity,True,Cold Outreach,No Preference,Yes
143,Happy,Rogers,happy.rogers@dufflabs.com,+1-555-0417,228,lead,False,Partner,SMS,No
144,Tony,Danvers,tony.danvers@quantumgroup.com,555-0404,44,opportunity,True,Referral,SMS,False
145,Miles,Danvers,miles.danvers@starkpartners.com,555-0285,218,evangelist,False,Partner,No Preference,False
146,Rhodey,Lang,rhodey.lang@novanetworks.com,555-0256,233,lead,True,Referral,Email,True
147,Rhodey,Smith,rhodey.smith@duffllc.com,555.0334,196,evangelist,No,Organic Search,Phone,False
148,Rhodey,Lang,rhodey.lang@orbitglobal.com,555-0553,176,evangelist,No,Referral,No Preference,False
149,Ned,Potts,ned.potts@novallc.com,555-0881,91,customer,No,Webinar,SMS,False
150,Gavin,VanDyne,gavin.vandyne@summitglobal.com,555-0487,277,lead,False,Cold Outreach,No Preference,False
151,Kate,Romanoff,kate.romanoff@quantuminc.com,555-0028,146,lead,False,Partner,Email,False
152,Bucky,Stark,bucky.stark@beaconstudio.com,555-0057,183,lead,Yes,Trade Show,Email,True
153,Steve,Belson,steve.belson@apertureworks.com,555-0038,11,evangelist,False,Cold Outreach,Email,True
154,Wanda,Barnes,wanda.barnes@horizonenterprises.com,555-0827,166,customer,False,Organic Search,SMS,Yes
155,Sam,Leeds,sam.leeds@nimbusstudio.com,5550548,39,subscriber,False,Webinar,Email,True
156,Janet,Barton,janet.barton@initechglobal.com,555-0486,291,marketingqualifiedlead,False,Trade Show,SMS,False
157,Miles,Parker,miles.parker@gringottsenterprises.com,555-0781,264,subscriber,True,Trade Show,No Preference,No
158,Meredith,Khan,meredith.khan@duffsystems.com,555-0744,223,opportunity,No,Webinar,Phone,Yes
159,May,Parker,may.parker@piedpiperco.com,555-0866,33,evangelist,True,Cold Outreach,Phone,True
160,Nina,Dyson,nina.dyson@lanternstudio.com,555-0573,159,salesqualifiedlead,True,Webinar,Phone,True
161,Derek,Grey,derek.grey@novallc.com,555-0043,91,salesqualifiedlead,True,Referral,SMS,True
162,Peter,Wilson,peter.wilson@waynesystems.com,555-0859,47,lead,1,Trade Show,SMS,True
163,Alicia,Belson,alicia.belson@anchorinc.com,555-0598,161,evangelist,True,Organic Search,Phone,0
164,Cave,Grey,cave.grey@novapartners.com,555-0057,131,marketingqualifiedlead,True,Cold Outreach,No Preference,True
165,Meredith,Sharp,meredith.sharp@stellarglobal.com,555-0021,189,opportunity,1,Partner,Phone,False
166,Steve,Wilson,steve.wilson@titanholdings.com,555-0242,63,salesqualifiedlead,No,Cold Outreach,SMS,0
167,Steve,Johnson,steve.johnson@duffdynamics.com,555-0646,83,evangelist,False,Referral,SMS,False
168,Pepper,Parker,pepper.parker@vectornetworks.com,555-0897,171,subscriber,False,Trade Show,Email,False
169,Happy,Smith,happy.smith@atlasstudio.com,555-0810,95,subscriber,False,Cold Outreach,Email,0
170,Wong,Hendricks,wong.hendricks@gringottsdynamics.com,555-0327,211,evangelist,False,Webinar,SMS,True
171,Bruce,Parker,bruce.parker@cobaltworks.com,555-0967,202,opportunity,1,Trade Show,Phone,False
172,Miles,Shepherd,MILES.SHEPHERD@MASSIVEHOLDINGS.COM,555-0632,87,marketingqualifiedlead,Yes,Webinar,Email,No
173,Happy,VanDyne,happy.vandyne@waynetechnologies.com,555-0882,105,marketingqualifiedlead,False,Organic Search,Phone,True
174,Kamala,Johnson,kamala.johnson@orbitsystems.com,555-0193,145,salesqualifiedlead,True,Cold Outreach,SMS,No
175,Alicia,Wilson,alicia.wilson@cobaltco.com,5550480,235,customer,True,Partner,No Preference,False
176,Tom,Stark,tom.stark@apextechnologies.com,555-0240,27,marketingqualifiedlead,True,Referral,SMS,False
177,Steve,Danvers,steve.danvers@cobaltcorp.com,(555) 0572,68,marketingqualifiedlead,No,Cold Outreach,No Preference,Yes
178,Wong,Leeds,wong.leeds@emberllc.com,555-0130,60,evangelist,False,Organic Search,SMS,False
179,Kate,Shepherd,kate.shepherd@stellartechnologies.com,555-0323,224,salesqualifiedlead,True,Trade Show,No Preference,0
180,Sara,Beer,sara.beer@piedpipernetworks.com,555-0722,241,subscriber,False,Referral,No Preference,False
181,Happy,VanDyne,happy.vandyne@prismglobal.com,5550095,76,lead,False,Trade Show,Phone,True
182,Wong,Osborn,wong.osborn@titanlabs.com,555-0510,40,marketingqualifiedlead,1,Organic Search,SMS,True
183,Wanda,Sharp,wanda.sharp@vertexgroup.com,555-0675,236,customer,True,Cold Outreach,Email,False
184,Wanda,Hendricks,wanda.hendricks@stellarlabs.com,555-0289,25,subscriber,False,Referral,No Preference,True
185,Carol,Wayne,carol.wayne@lanternventures.com,555-0798,107,customer,True,Referral,SMS,False
186,Steve,Hendricks,steve.hendricks@atlasgroup.com,+1-555-0524,50,salesqualifiedlead,False,Referral,No Preference,True
187,May,Leeds,may.leeds@acmecollective.com,555-0474,263,customer,True,Organic Search,Email,False
188,Bruce,Rhodes,bruce.rhodes@horizonglobal.com,555-0307,66,opportunity,True,Trade Show,Email,True
189,Vision,Leeds,vision.leeds@siriusventures.com,555-0582,238,marketingqualifiedlead,True,Trade Show,Email,No
190,Norman,Osborn,norman.osborn@starkdynamics.com,555-0897,24,marketingqualifiedlead,False,Partner,No Preference,False
191,Clint,Osborn,clint.osborn@stellarventures.com,555.0618,41,salesqualifiedlead,True,Organic Search,Email,No
192,Happy,Danvers,happy.danvers@beaconsolutions.com,555-0832,250,marketingqualifiedlead,False,Cold Outreach,Email,1
193,Miles,Belson,miles.belson@titanllc.com,555-0214,97,lead,False,Partner,Phone,No
194,Nina,Rhodes,nina.rhodes@emberllc.com,555-0156,60,salesqualifiedlead,False,Referral,No Preference,True
195,Peggy,Danvers,peggy.danvers@summitsystems.com,555-0867,5,salesqualifiedlead,False,Referral,No Preference,False
196,Duffman,Connor,duffman.connor@waynedynamics.com,+1-555-0566,217,salesqualifiedlead,Yes,Organic Search,No Preference,Yes
197,Miles,Rhodes,miles.rhodes@apexindustries.com,555-0601,119,marketingqualifiedlead,False,Webinar,SMS,False
198,Peter,Wilson,peter.wilson@duffdynamics.com,555-0289,83,subscriber,True,Webinar,Phone,No
199,Tony,Parker,tony.parker@beacondynamics.com,555-0214,253,subscriber,False,Cold Outreach,Phone,1
200,Tom,Barton,tom.barton@wonkaenterprises.com,555-0229,117,marketingqualifiedlead,True,Trade Show,SMS,True
201,Sara,Hogan,sara.hogan@zenithsolutions.com,555-0800,57,evangelist,True,Trade Show,Email,True
202,Gavin,Johnson,gavin.johnson@fusiontechnologies.com,555-0725,81,opportunity,True,Webinar,SMS,True
203,Gavin,Dyson,gavin.dyson@vertexstudio.com,+1-555-0006,213,marketingqualifiedlead,True,Referral,SMS,False
204,Sam,Keys,sam.keys@zenithlabs.com,+1-555-0233,272,salesqualifiedlead,False,Trade Show,SMS,False
205,Nina,Doe,nina.doe@meridiansolutions.com,555-0086,265,salesqualifiedlead,True,Organic Search,Email,True
206,Nina,Connor,nina.connor@nimbusnetworks.com,555-0429,267,customer,False,Partner,SMS,True
207,Meredith,Pym,meredith.pym@prismglobal.com,555-0456,76,opportunity,False,Partner,SMS,False
208,Miles,Rogers,miles.rogers@prismstudio.com,555-0742,276,lead,False,Webinar,Email,False
209,Wong,Barton, wong.barton@titannetworks.com ,555-0911,82,opportunity,False,Partner,No Preference,True
210,Sara,Wilson,sara.wilson@globexventures.com,555-0048,260,subscriber,True,Organic Search,SMS,True
211,Natasha,Rogers,natasha.rogers@meridianco.com,555-0731,294,customer,Yes,Trade Show,Phone,False
212,Happy,Stark,happy.stark@starkpartners.com,+1-555-0083,218,lead,False,Referral,SMS,False
213,Janet,Bishop,janet.bishop@compasssystems.com,555-0598,203,salesqualifiedlead,False,Partner,No Preference,True
214,Vision,Hendricks,vision.hendricks@cobaltco.com,555-0721,235,opportunity,0,Organic Search,No Preference,0
215,Scott,Wilson,scott.wilson@umbrellapartners.com,5550418,61,opportunity,True,Referral,SMS,False
216,Steve,Carter,steve.carter@catalystcollective.com,555-0603,74,marketingqualifiedlead,True,Webinar,No Preference,Yes
217,Tom,Brown,tom.brown@meridianco.com,555-0463,294,evangelist,True,Webinar,No Preference,False
218,Nina,Maximoff,nina.maximoff@fusiongroup.com,555-0921,210,opportunity,No,Partner,SMS,True
219,Jane,Rogers,jane.rogers@stellarcorp.com,555.0087,64,opportunity,False,Trade Show,Email,0
220,Jane,Grey,jane.grey@beaconholdings.com,555-0859,126,salesqualifiedlead,Yes,Organic Search,Email,True
221,Clint,Leeds,clint.leeds@wonkanetworks.com,555-0324,13,subscriber,1,Trade Show,Phone,True
222,Derek,Wayne,derek.wayne@atlascorp.com,555-0060,209,marketingqualifiedlead,1,Cold Outreach,No Preference,0
223,Peter,Maximoff,PETER.MAXIMOFF@MERIDIANCOLLECTIVE.COM,555-0245,62,opportunity,No,Referral,SMS,No
224,Scott,Parker,scott.parker@summitcorp.com,555-0239,15,subscriber,True,Webinar,Phone,False
225,Ned,Wayne,ned.wayne@apexpartners.com,(555) 0991,257,evangelist,No,Trade Show,No Preference,No
226,Kate,Carter, kate.carter@novasystems.com ,555-0955,86,marketingqualifiedlead,False,Cold Outreach,Phone,False
227,Mike,Weasley,mike.weasley@wonkasystems.com,555-0091,289,subscriber,False,Organic Search,Phone,False
228,Clint,Shepherd,clint.shepherd@nimbusco.com,555-0678,232,marketingqualifiedlead,Yes,Referral,Phone,True
229,Kamala,Rhodes,kamala.rhodes@oscorptechnologies.com,555-0713,304,evangelist,True,Partner,Email,False
230,Gavin,Romanoff,gavin.romanoff@wonkaco.com,555-0366,193,evangelist,True,Referral,No Preference,True
231,Ned,Doe,ned.doe@apertureworks.com,555-0696,11,marketingqualifiedlead,Yes,Partner,Phone,No
232,Sam,Brown, sam.brown@horizonlabs.com ,555-0840,108,subscriber,False,Webinar,Phone,True
233,Tom,Hendricks,tom.hendricks@horizonglobal.com,555-0583,66,opportunity,False,Webinar,Email,False
234,Scott,Potts,scott.potts@umbrellasolutions.com,+1-555-0416,307,salesqualifiedlead,True,Partner,Phone,No
235,Hope,Hogan,hope.hogan@meridiantechnologies.com,555-0083,201,evangelist,0,Partner,No Preference,True
236,Miles,Weasley,miles.weasley@piedpiperco.com,+1-555-0099,33,evangelist,Yes,Cold Outreach,Phone,0
237,Clint,Connor,clint.connor@nimbusnetworks.com,+1-555-0966,267,evangelist,No,Trade Show,Email,1
238,Mike,Barnes,mike.barnes@anchordynamics.com,555-0063,34,salesqualifiedlead,No,Referral,Email,True
239,Peggy,Barnes,peggy.barnes@gringottsdynamics.com,555-0613,211,opportunity,No,Organic Search,No Preference,True
240,Clint,Smith,clint.smith@compassllc.com,555.0110,169,opportunity,True,Trade Show,Phone,False
241,Natasha,Parker,natasha.parker@dufflabs.com,555-0140,228,subscriber,No,Trade Show,SMS,True
242,Nina,Rhodes,nina.rhodes@orbitglobal.com,(555) 0993,176,subscriber,1,Organic Search,SMS,0
243,Miles,Hardy,miles.hardy@meridiancorp.com,555-0478,244,marketingqualifiedlead,False,Trade Show,SMS,True
244,Tony,Potts,tony.potts@summitindustries.com,(555) 0942,22,customer,0,Webinar,No Preference,False
245,Bucky,Johnson,bucky.johnson@vertexllc.com,555-0075,4,opportunity,Yes,Organic Search,Phone,False
246,Mike,Smith,mike.smith@quantuminc.com,(555) 0906,146,marketingqualifiedlead,True,Webinar,Phone,Yes
247,Tony,Smith,tony.smith@umbrelladynamics.com,555-0806,71,marketingqualifiedlead,False,Organic Search,Phone,False
248,Bill,Pym,bill.pym@duffsystems.com,(555) 0066,223,evangelist,No,Partner,SMS,False
249,Alicia,Brown,alicia.brown@titanllc.com,555-0301,97,marketingqualifiedlead,Yes,Webinar,No Preference,1
250,Pepper,Hardy,pepper.hardy@cyberdynedynamics.com,555-0660,199,marketingqualifiedlead,False,Webinar,SMS,False
251,Rhodey,Rhodes,rhodey.rhodes@quantumindustries.com,555-0809,206,subscriber,0,Organic Search,Phone,False
252,May,Barnes,may.barnes@soylentventures.com,555.0086,192,marketingqualifiedlead,False,Webinar,Email,False
